#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito,1T,2T,3T,,
2016,I,E,11200,IMPTO SOBRE BIENES INMUEBLES. BIENES INMUEB DE NAT RÚSTICA,356.37,,356.37,,,
2016,I,E,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,9331999.15,11008.35,9307622.76,13368.04,,
2016,I,E,11400,Impto. sobre Bienes Inmuebles Características Especiales,0,,,,,
2016,I,E,11500,Impuesto sobre Vehículos de Tracción Mecánica,752157.05,743149.21,6137.96,2869.88,,
2016,I,E,11600,Impuesto sobre incremento del valor de los terrenos,5991798.94,1016037.29,901683.13,4074078.52,,
2016,I,E,13000,Impuesto sobre actividades económicas,1097532.4,-261.58,737522.43,360271.55,,
2016,I,E,17100,RECARGO PROVINCIAL SOBRE I.A.E.,0,,,,,
2016,I,E,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",624326.03,171690.8,86751.07,365884.16,,
2016,I,E,30001,Tasa servicio distribución agua urbanizaciones,0,,,,,
2016,I,E,30200,Tasas por recogida de basuras y residuos sólidos urbanos,739235.86,715992.17,-551.8,23795.49,,
2016,I,E,30900,Tasas concesiones cementerio municipal,0,,,,,
2016,I,E,31199,OTROS SERVICIOS ASISTENCIALES,0,,,,,
2016,I,E,31300,TASAS ENSEÑANZAS ESPECIALES Y ACTIVIDADES,140419.38,61329.68,58745.98,20343.72,,
2016,I,E,31302,"TASAS PADEL, TENIS, FRONTENIS Y SQUASH",14866.67,3380.87,3125.15,8360.65,,
2016,I,E,31303,TASAS CENSIÓN CANCHAS,3930,,1860,2070,,
2016,I,E,31304,TASAS CUOTAS ABONO INSTALACIONES,51318.85,19353.85,18951.45,13013.55,,
2016,I,E,31305,TASAS PISCINA CUBIERTA,0,,,,,
2016,I,E,32100,Tasas por concesión de licencias urbanísticas,186265.53,13013.37,80823.95,92428.21,,
2016,I,E,32200,Licencias de primera ocupación,174911.83,25100.37,96515.28,53296.18,,
2016,I,E,32500,Tasa por expedición de documentos,5709.22,863.54,1557.56,3288.12,,
2016,I,E,32700,Licencias de apertura de establecimientos,24552.43,6155.22,11227.26,7169.95,,
2016,I,E,32900,Tasa por apertura anual de piscinas de uso colectivo,22585,,12630,9955,,
2016,I,E,33003,TASA POR VADOS Y RESERVAS EN LA VIA PUBLICA,0,,,,,
2016,I,E,33100,Tasa de entrada de vehículos,0,,,,,
2016,I,E,33200,Tasa por utilizacion priv. o aprov. especial empresas sumin.,232006.97,114720,61380.2,55906.77,,
2016,I,E,33400,Tasa por apertura de calas y zanjas,2002.53,671.59,169.6,1161.34,,
2016,I,E,33500,Tasa por ocupación de la vía pública con terrazas,38957.45,2099.16,18626.68,18231.61,,
2016,I,E,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,2560,895,435,1230,,
2016,I,E,33700,Tasa por aprovechamiento del vuelo (grúas),23847.15,,,23847.15,,
2016,I,E,33800,Otros aprovechamientos especiales compensación Telefónica,67222.06,24000.94,,43221.12,,
2016,I,E,33900,Otras tasas por ocupación de vía pública,37251.52,10664.43,9740.96,16846.13,,
2016,I,E,33902,Tasas de retirada de vehículos (grúas),5544.61,295.26,882.67,4366.68,,
2016,I,E,33903,Tasa por cesión de instalaciones en dominio público,20406.58,8639,7730,4037.58,,
2016,I,E,33904,Tasas de o.v.p. con puestos y barracas,8983.75,502.2,200.88,8280.67,,
2016,I,E,34200,Precios públicos. Escuela de Idiomas,205349.78,66.28,119607.82,85675.68,,
2016,I,E,34201,Precios públicos escuela infantil,186843.97,29138.55,108539.98,49165.44,,
2016,I,E,34202,Precios públicos. Escuela de Música y Danza,183023.7,139.43,109198.77,73685.5,,
2016,I,E,34203,Precios públicos. Cursos y Actividades.,20359.18,4470.85,8536.53,7351.8,,
2016,I,E,34204,Precios públicos. Educacion adultos,6522.5,,5460,1062.5,,
2016,I,E,34300,Precios públicos por prestación de servicio en Deportes,6522.5,34110.79,43816.43,33300.73,,
2016,I,E,34400,Precios públicos por asistencia a espectáculos,111227.95,9134.89,23489.22,15311.54,,
2016,I,E,34900,Precios públicos por publicidad en Revista Municipal,47935.65,1600,6179.8,4032.96,,
2016,I,E,34901,Precios públicos por casa de juventud,11812.76,510,2132.5,19205,,
2016,I,E,34902,Precios públicos por servicio de bodas,21847.5,3585,5785,10510,,
2016,I,E,34903,Precios públicos libro de Torrelodones,19880,,,,,
2016,I,E,34904,Precios públicos por transporte escolar,0,2806,12478,3295,,
2016,I,E,34905,Precios públicos por gabinete psicológico,18579,,,,,
2016,I,E,34906,PRECIO PUBLICO SUMINISTRO AGUA HUERTOS URBANOS,0,3745,157.5,122.5,,
2016,I,E,34907,Precios públicos talleres Servicios Sociales,4025,349.5,12258,,,
2016,I,E,38900,REINTEGROS DE PRESUPUESTOS CERRADOS,12607.5,2056.46,1812.75,1025.83,,
2016,I,E,39100,Multas por infracciones urbanísticas,4895.04,,600,600,,
2016,I,E,39103,Sanciones medioambientales,1200,601,17909,7416.54,,
2016,I,E,39120,Multas por infracciones de la Ordenanza de Circulación.,25926.54,2909.66,16570,85237.6,,
2016,I,E,39190,Otras multas y sanciones,104717.26,6756.01,4402,1394.43,,
2016,I,E,39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIMI. PREVIO,12552.44,1360.41,559.16,3024.1,,
2016,I,E,39211,RECARGO DE APREMIO.,4943.67,35552.99,24894.34,46833.05,,
2016,I,E,39300,INTERESES DE DEMORA,107280.38,9493.39,14867.41,18721.77,,
2016,I,E,39620,Cuotas mantenimiento Entidad Urbanistica,43082.57,,,,,
2016,I,E,39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS.,0,,,,,
2016,I,E,39800,Indemnizaciones de seguros de no vida,0,,500.1,41.44,,
2016,I,E,39901,Otros ingresos diversos,541.54,9750.06,1387.19,3909.04,,
2016,I,E,39902,Otros recargos. Costas.,15046.29,1726.21,3962.74,3830.4,,
2016,I,E,39903,Otros ingresos. Recogida selectiva envases,9519.35,22116.4,24198.56,14459.68,,
2016,I,E,39904,Otros ingresos. Fondo reposición arbolado,60774.64,1504.66,34928.44,1957.21,,
2016,I,E,39905,OTROS INGRESOS DIVERDOS. RECOGIDAS RAEE,38390.31,,401.68,,,
2016,I,E,39906,Ingresos por ejecución subsidiaria,401.68,,,,,
2016,I,E,42000,Participación en los tributos del Estado,0,811206.6,789304.58,1843513.52,,
2016,I,E,45000,Participación en los tributos de la Comunidad Autónoma,3444024.7,,3921,,,
2016,I,E,45060,OTRAS TRANS CTES EN CUMPLIMIENTO DE CONV SUSCRITOS CON C.A,3921,95693.33,46000,273631.1,,
2016,I,E,45300,DE EMPRESAS PUBLICAS Y OTROS ENTES PUBLICOS,415324.43,,1332,,,
2016,I,E,46301,TRANSFERENCIAS CORRIENTES DE MANCOMUNIDADES,1332,,,,,
2016,I,E,47000,TRANSFERENCIAS DE EMPRESAS PRIVADAS,0,,,,,
2016,I,E,51801,Intereses de anticipos y prestamos al personal,0,,,,,
2016,I,E,52100,INTERESES DE DEPOSITOS,0,4345.05,7499.21,4820.99,,
2016,I,E,53410,DE SOC Y ENTIDADES NO DEPENDIENTES DE LAS ENTIDADES LOCALES.,16665.25,,,101898.37,,
2016,I,E,54900,Otras rentas de bienes inmuebles,101898.37,7590.9,22124.53,25750,,
2016,I,E,55000,Concesiones administrativas de contraprestación periódica,55465.43,201093.95,58501.82,13485.18,,
2016,I,E,55001,Concesiones adtivas. contraprestación periódica (bares),273080.95,8715.66,2771.98,1654.67,,
2016,I,E,55200,Concesiones y aprovechamientos. Derechos de superficie.,13142.31,188022.48,,118160.86,,
2016,I,E,60200,PARCELAS SOBRANTES DE LA VÍA PÚBLICA,306183.34,,,5380,,
2016,I,E,61900,Venta de inmuebles,306183.34,,,,,
2016,I,E,75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,5380,,,,,
2016,I,E,77000,TRANSFERENCIA CAPITAL EMPRESAS PRIVADAS,0,,,,,
2016,I,E,83000,REINTEGRO DE PAGAS ANTICIPADAS AL PERSONAL FUNCIONARIO,0,17534.42,19507.71,20995.41,,
2016,I,E,87000,PARA GASTOS GENERALES.,0,,,,,
2016,I,E,87010,PARA GASTOS CON FINANCIACIÓN AFECTADA.,58037.54,,,,,
2016,I,E,91300,Préstamos recibidos a largo plazo,0,,,,,
