#Año,Tipo,Presupuesto,Programa,Económica,Descripción,Obligaciones,T1,T2,T3,T4
2016,G,E,0110,31001,INTERESES  BCL Nº 14270587,0,,,,
2016,G,E,0110,31004,INTERESES  BCL Nº 5016411,653.29,457.22,196.07,,
2016,G,E,0110,31005,INTERESES  BCL Nº  5173652,359.82,,359.82,,
2016,G,E,0110,31020,INVERSIONES 2004,129.91,72.25,18445.67,-18388.01,
2016,G,E,0110,31021,INVERSIONES 2005,0,,,,
2016,G,E,0110,31022,Intereses prestamo 2009 Caja Madrid nº 11.589.302/69,0,,,,
2016,G,E,0110,31023,Intereses préstamo 2009 Caja Madrid nº 11.584.305/21,0,,,,
2016,G,E,0110,31024,Intereses préstamo,0,,,,
2016,G,E,0110,31025,Intereses Prestamo Bankia SUMTOSA,1882.06,753.07,1128.99,,
2016,G,E,0110,31026,Intereses préstamo Banco Santander - SUMTOSA,849.29,508.49,340.8,,
2016,G,E,0110,35900,Otros gastos financieros,0,,,,
2016,G,E,0110,91304,AMORTIZACIÓN  BCL Nº 5016411,104816.58,34938.86,34938.86,34938.86,
2016,G,E,0110,91305,AMORTIZACIÓN BCL Nº 5173652,46428.56,,23214.28,23214.28,
2016,G,E,0110,91320,Inversiones 2004,147534.64,36861.53,36927.94,73745.17,
2016,G,E,0110,91321,INVERSIONES 2005,161500,,,161500,
2016,G,E,0110,91322,Amortización Caja Madrid 2009 nº 11.589.302/69,0,,,,
2016,G,E,0110,91323,Amortización préstamo 2009 Caja Madrid nº 11.589.305/21,0,,,,
2016,G,E,0110,91324,Amortización préstamo,0,,,,
2016,G,E,0110,91325,Amortización prestamo Bankia - SUMTOSA,166180.09,3308.35,162871.74,,
2016,G,E,0110,91326,Amortización préstamo Banco Santander - SUMTOSA,124186.37,2676.15,121510.22,,
2016,G,E,1320,12001,SUELDOS DEL GRUPO A2.,3130.84,3130.84,,,
2016,G,E,1320,12003,SUELDOS DEL GRUPO C1.,5137.41,664.75,2290.97,2181.69,
2016,G,E,1320,12004,SUELDOS DEL GRUPO C2.,356667.42,119901.92,141078.59,95686.91,
2016,G,E,1320,12006,TRIENIOS.,36575.86,12158.21,11975.24,12442.41,
2016,G,E,1320,12100,COMPLEMENTO DE DESTINO.,136079.68,46479.22,46160.28,43440.18,
2016,G,E,1320,12101,COMPLEMENTO ESPECÍFICO.,545338.2,186675.15,211506.44,147156.61,
2016,G,E,1320,15000,COMPLEMENTO DE PRODUCTIVIDAD,251816.75,90780.22,79209.76,81826.77,
2016,G,E,1320,15100,GRATIFICACIONES,14982.05,3998.5,5908.5,5075.05,
2016,G,E,1320,16000,Seguridad Social. Personal Funcionario,364199.56,119068.1,122371.72,122759.74,
2016,G,E,1320,20200,Arrendamientos de edificios y otras construcciones,7625.54,2543.54,2541,2541,
2016,G,E,1320,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,8034.03,2678.01,4463.35,892.67,
2016,G,E,1320,21400,REPARAC. MANTEN. MATERIAL TRANSPORTE,1342.86,201.54,569.36,571.96,
2016,G,E,1320,22103,COMBUSTIBLES Y CARBURANTES.,12244.46,5290.78,4244.58,2709.1,
