#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito
2017,I,P,11200,Impuesto Bienes Inmuebles Naturaleza Rústica,350
2017,I,P,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,9100000
2017,I,P,11500,Impuesto sobre Vehículos de Tracción Mecánica,725000
2017,I,P,11600,Impuesto sobre el Incremento de Valor de los Terrenos de Nat,4200000
2017,I,P,13000,Impuesto sobre Actividades Económicas. Actividades Empresari,1050000
2017,I,P,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",941200
2017,I,P,30200,Tasas por recogida de basuras y residuos sólidos urbanos,730000
2017,I,P,31300,Tasas por serv. deportiv:enseñanzas especiales y actividades,0
2017,I,P,31302,"Tasas padle, tenis, frontenis y scuash",27000
2017,I,P,31303,Tasas cesión canchas,5000
2017,I,P,31304,Tasas cuotas abono instalaciones,95000
2017,I,P,32100,Licencias urbanísticas,300000
2017,I,P,32200,Licencias de primera ocupación,195000
2017,I,P,32500,Tasa por expedición de documentos,5000
2017,I,P,32700,Licencias de apertura de establecimientos,30000
2017,I,P,32900,Tasa por apertura anual de piscinas de uso colectivo,23000
2017,I,P,33200,"Tasa por util. priv o aprov esp:suelo, vuelo y subsuelo",310000
2017,I,P,33400,Tasa por apertura de calas y zanjas,3000
2017,I,P,33500,Tasa por ocupación de la vía pública con terrazas,36000
2017,I,P,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,7000
2017,I,P,33700,Tasa por aprovechamiento del vuelo (grúas),9000
2017,I,P,33800,Compensación Telefónica de España S.A.,90000
2017,I,P,33900,Tasa por ocupación de vía pública,37000
2017,I,P,33902,Tasas de retirada de vehículos (grúas),8000
2017,I,P,33903,Tasa por cesión de instalaciones en dominio público,25000
2017,I,P,33904,Tasas de o.v.p. con puestos y barracas,9000
2017,I,P,34200,Precios públicos. Escuela de Idiomas,210000
2017,I,P,34201,Precios públicos escuela infantil,260000
2017,I,P,34202,Precios públicos. Escuela de Música y Danza,300000
2017,I,P,34203,Precios públicos. Cursos y Actividades.,55000
2017,I,P,34204,Precios públicos Educación de Adultos,16000
2017,I,P,34300,Precios públicos por prestación de servicio en Deportes,350000
2017,I,P,34400,Precios públicos por asistencia a espectáculos,95000
2017,I,P,34900,Precios públicos por publicidad en Revista Municipal y otros,30000
2017,I,P,34901,Precios públicos por casa de juventud,39600
2017,I,P,34902,Precios públicos por servicio de bodas,25000
2017,I,P,34904,Precios públicos por transporte escolar,28000
2017,I,P,34906,Precios públicos Suministro Agua huertos urbanos,4000
2017,I,P,34907,Precios públicos Talleres Servicios Sociales,18500
2017,I,P,38900,Reintegros de Presupuestos Cerrados,5000
2017,I,P,39100,Multas por infracciones urbanísticas,5000
2017,I,P,39103,Sanciones medioambientales,5000
2017,I,P,39120,Multas por infracciones de la Ordenanza de Circulación.,100000
2017,I,P,39190,Otras multas y sanciones,15000
2017,I,P,39200,Recargo por declaración extemporánea sin requer. previo,6000
2017,I,P,39211,Recargo de apremio,250000
2017,I,P,39300,Intereses de demora,100000
2017,I,P,39901,Otros ingresos diversos,20000
2017,I,P,39902,Otros recargos. Costas.,10000
2017,I,P,39903,Otros ingresos. Recogida selectiva de envases,90000
2017,I,P,39905,Otros Ingresos diversos. Recogidas RAEE,300
2017,I,P,42000,Participación en los tributos del Estado,4680000
2017,I,P,45060,Transferencia corrientes Comunidad de Madrid,845000
2017,I,P,46301,Transferencias corrientes de Mancomunidades,107300
2017,I,P,51801,Intereses de anticipos y préstamos al personal,500
2017,I,P,52100,Intereses de depósitos,20000
2017,I,P,53410,Dividendos de Sociedades,100000
2017,I,P,54900,Otras rentas de bienes inmuebles,108600
2017,I,P,55000,Concesiones administrativas de contraprestación periódica,292000
2017,I,P,55001,Concesiones adtivas. contraprestación periódica (bares),13150
2017,I,P,55200,Concesiones y aprovechamientos. Derechos de superficie.,300600
2017,I,P,60000,Venta de Solares,841000
2017,I,P,61900,Venta de Inmuebles,1
2017,I,P,83000,Reintegro de préstamos del personal,82000
2017,I,P,91300,Préstamos recibidos largo plazo,3834600
