#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito
2014,I,P,11200,Impuesto Bienes Inmuebles Naturaleza Rústica,350
2014,I,P,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,9550000
2014,I,P,11500,Impuesto sobre Vehículos de Tracción Mecánica,711000
2014,I,P,11600,Impuesto sobre el Incremento de Valor de los Terrenos de Nat,1600000
2014,I,P,13000,Impuesto sobre Actividades Económicas. Actividades Empresari,1230000
2014,I,P,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",400000
2014,I,P,30200,Tasas por recogida de basuras y residuos sólidos urbanos,710000
2014,I,P,31300,Tasas por serv. deportiv:enseñanzas especiales y actividades,235000
2014,I,P,31302,"Tasas padle, tenis, frontenis y scuash",28000
2014,I,P,31303,Tasas cesión canchas,1150
2014,I,P,31304,Tasas cuotas abono instalaciones,95000
2014,I,P,32100,Licencias urbanísticas,125000
2014,I,P,32200,Licencias de primera ocupación,90000
2014,I,P,32500,Tasa por expedición de documentos,13000
2014,I,P,32700,Licencias de apertura de establecimientos,25000
2014,I,P,32900,Tasa por apertura anual de piscinas de uso colectivo,27000
2014,I,P,33003,Tasa por vados y reservas en la vía pública,1000
2014,I,P,33200,"Tasa por util. priv o aprov esp:suelo, vuelo y subsuelo",350000
2014,I,P,33400,Tasa por apertura de calas y zanjas,500
2014,I,P,33500,Tasa por ocupación de la vía pública con terrazas,35000
2014,I,P,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,8000
2014,I,P,33700,Tasa por aprovechamiento del vuelo (grúas),2000
2014,I,P,33800,Compensación Telefónica de España S.A.,90000
2014,I,P,33900,Tasa por ocupación de vía pública,25000
2014,I,P,33902,Tasas de retirada de vehículos (grúas),12000
2014,I,P,33903,Tasa por cesión de instalaciones en dominio público,20000
2014,I,P,33904,Tasas de o.v.p. con puestos y barracas,7500
2014,I,P,34200,Precios públicos. Escuela de Idiomas,390000
2014,I,P,34201,Precios públicos escuela infantil,340000
2014,I,P,34202,Precios públicos. Escuela de Música y Danza,320000
2014,I,P,34203,Precios públicos. Cursos y Actividades.,55000
2014,I,P,34300,Precios públicos por prestación de servicio en Deportes,150000
2014,I,P,34400,Precios públicos por asistencia a espectáculos,90000
2014,I,P,34900,Precios públicos por publicidad en Revista Municipal y otros,37000
2014,I,P,34901,Precios públicos por casa de juventud,25000
2014,I,P,34902,Precios públicos por servicio de bodas,25000
2014,I,P,34904,Precios públicos por transporte escolar,58000
2014,I,P,38900,Reintegros de Presupuestos Cerrados,5000
2014,I,P,39100,Multas por infracciones urbanísticas,10000
2014,I,P,39103,Sanciones medioambientales,30000
2014,I,P,39120,Multas por infracciones de la Ordenanza de Circulación.,150000
2014,I,P,39190,Otras multas y sanciones,30000
2014,I,P,39200,Recargo por declaración extemporánea sin requer. previo,40000
2014,I,P,39211,Recargo de apremio,260000
2014,I,P,39300,Intereses de demora,120000
2014,I,P,39800,Indemnizaciones de seguros de no vida,5000
2014,I,P,39901,Otros ingresos diversos,35000
2014,I,P,39902,Otros recargos. Costas.,40000
2014,I,P,39903,Otros ingresos. Recogida selectiva de envases,90000
2014,I,P,39904,Otros ingresos. Fondo reposición arbolado,60000
2014,I,P,39905,Otros Ingresos diversos. Recogidas RAEE,300
2014,I,P,42000,Participación en los tributos del Estado,4800000
2014,I,P,45060,Transferencia corrientes Comunidad de Madrid,869000
2014,I,P,46301,Transferencias corrientes de Mancomunidades,140000
2014,I,P,47000,Transferencias de empresas privadas,10000
2014,I,P,51801,Intereses de anticipos y prestamos al personal,500
2014,I,P,52100,Intereses de depósitos,5000
2014,I,P,53410,Dividendos de Sociedades,79000
2014,I,P,55000,Concesiones administrativas de contraprestación periódica,210000
2014,I,P,55001,Concesiones adtivas. contraprestación periódica (bares),4700
2014,I,P,55200,Concesiones y aprovechamientos. Derechos de superficie.,360000
2014,I,P,83000,Reintegro de préstamos del personal,63000
2014,I,P,91300,Préstamos recibidos largo plazo,1017000
