#Año,Tipo,Presupuesto,Económica,Descripción,Inicial 2016
2016,I,P,11200,IMPTO SOBRE BIENES INMUEBLES. BIENES INMUEB DE NAT RÚSTICA,350
2016,I,P,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,9400000
2016,I,P,11400,Impto. sobre Bienes Inmuebles Características Especiales,0
2016,I,P,11500,Impuesto sobre Vehículos de Tracción Mecánica,725000
2016,I,P,11600,Impuesto sobre incremento del valor de los terrenos,3700000
2016,I,P,13000,Impuesto sobre actividades económicas,1000000
2016,I,P,17100,RECARGO PROVINCIAL SOBRE I.A.E.,0
2016,I,P,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",400000
2016,I,P,30001,Tasa servicio distribución agua urbanizaciones,0
2016,I,P,30200,Tasas por recogida de basuras y residuos sólidos urbanos,720000
2016,I,P,30900,Tasas concesiones cementerio municipal,0
2016,I,P,31199,OTROS SERVICIOS ASISTENCIALES,0
2016,I,P,31300,TASAS ENSEÑANZAS ESPECIALES Y ACTIVIDADES,280000
2016,I,P,31302,"TASAS PADEL, TENIS, FRONTENIS Y SQUASH",40000
2016,I,P,31303,TASAS CENSIÓN CANCHAS,5000
2016,I,P,31304,TASAS CUOTAS ABONO INSTALACIONES,105000
2016,I,P,31305,TASAS PISCINA CUBIERTA,0
2016,I,P,32100,Tasas por concesión de licencias urbanísticas,300000
2016,I,P,32200,Licencias de primera ocupación,190000
2016,I,P,32500,Tasa por expedición de documentos,5000
2016,I,P,32700,Licencias de apertura de establecimientos,35000
2016,I,P,32900,Tasa por apertura anual de piscinas de uso colectivo,25000
2016,I,P,33003,TASA POR VADOS Y RESERVAS EN LA VIA PUBLICA,0
2016,I,P,33100,Tasa de entrada de vehículos,0
2016,I,P,33200,Tasa por utilizacion priv. o aprov. especial empresas sumin.,325000
2016,I,P,33400,Tasa por apertura de calas y zanjas,3000
2016,I,P,33500,Tasa por ocupación de la vía pública con terrazas,36000
2016,I,P,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,7000
2016,I,P,33700,Tasa por aprovechamiento del vuelo (grúas),9000
2016,I,P,33800,Otros aprovechamientos especiales compensación Telefónica,90000
2016,I,P,33900,Otras tasas por ocupación de vía pública,35000
2016,I,P,33902,Tasas de retirada de vehículos (grúas),8000
2016,I,P,33903,Tasa por cesión de instalaciones en dominio público,25000
2016,I,P,33904,Tasas de o.v.p. con puestos y barracas,12000
2016,I,P,34200,Precios públicos. Escuela de Idiomas,325000
2016,I,P,34201,Precios públicos escuela infantil,310000
2016,I,P,34202,Precios públicos. Escuela de Música y Danza,377000
2016,I,P,34203,Precios públicos. Cursos y Actividades.,55000
2016,I,P,34300,Precios públicos por prestación de servicio en Deportes,110000
2016,I,P,34400,Precios públicos por asistencia a espectáculos,55000
2016,I,P,34900,Precios públicos por publicidad en Revista Municipal,45000
2016,I,P,34901,Precios públicos por casa de juventud,25000
2016,I,P,34902,Precios públicos por servicio de bodas,25000
2016,I,P,34903,Precios públicos libro de Torrelodones,0
2016,I,P,34904,Precios públicos por transporte escolar,30000
2016,I,P,34905,Precios públicos por gabinete psicológico,0
2016,I,P,34906,PRECIO PUBLICO SUMINISTRO AGUA HUERTOS URBANOS,3000
2016,I,P,34907,Precios públicos talleres Servicios Sociales,12000
2016,I,P,38900,REINTEGROS DE PRESUPUESTOS CERRADOS,5000
2016,I,P,39100,Multas por infracciones urbanísticas,5000
2016,I,P,39103,Sanciones medioambientales,5000
2016,I,P,39120,Multas por infracciones de la Ordenanza de Circulación.,81603
2016,I,P,39190,Otras multas y sanciones,30000
2016,I,P,39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIMI. PREVIO,60000
2016,I,P,39211,RECARGO DE APREMIO.,300000
2016,I,P,39300,INTERESES DE DEMORA,120000
2016,I,P,39620,Cuotas mantenimiento Entidad Urbanistica,0
2016,I,P,39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS.,0
2016,I,P,39800,Indemnizaciones de seguros de no vida,0
2016,I,P,39901,Otros ingresos diversos,35000
2016,I,P,39902,Otros recargos. Costas.,35000
2016,I,P,39903,Otros ingresos. Recogida selectiva envases,90000
2016,I,P,39904,Otros ingresos. Fondo reposición arbolado,0
2016,I,P,39905,OTROS INGRESOS DIVERDOS. RECOGIDAS RAEE,300
2016,I,P,39906,Ingresos por ejecución subsidiaria,0
2016,I,P,42000,Participación en los tributos del Estado,4680000
2016,I,P,45000,Participación en los tributos de la Comunidad Autónoma,0
2016,I,P,45060,OTRAS TRANS CTES EN CUMPLIMIENTO DE CONV SUSCRITOS CON C.A,870000
2016,I,P,45300,DE EMPRESAS PUBLICAS Y OTROS ENTES PUBLICOS,0
2016,I,P,46301,TRANSFERENCIAS CORRIENTES DE MANCOMUNIDADES,110000
2016,I,P,47000,TRANSFERENCIAS DE EMPRESAS PRIVADAS,0
2016,I,P,51801,Intereses de anticipos y prestamos al personal,500
2016,I,P,52100,INTERESES DE DEPOSITOS,5000
2016,I,P,53410,DE SOC Y ENTIDADES NO DEPENDIENTES DE LAS ENTIDADES LOCALES.,100000
2016,I,P,54900,Otras rentas de bienes inmuebles,108600
2016,I,P,55000,Concesiones administrativas de contraprestación periódica,250000
2016,I,P,55001,Concesiones adtivas. contraprestación periódica (bares),12000
2016,I,P,55200,Concesiones y aprovechamientos. Derechos de superficie.,307000
2016,I,P,61900,Venta de inmuebles,0
2016,I,P,75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,927000
2016,I,P,77000,TRANSFERENCIA CAPITAL EMPRESAS PRIVADAS,0
2016,I,P,83000,REINTEGRO DE PAGAS ANTICIPADAS AL PERSONAL FUNCIONARIO,82000
2016,I,P,87000,PARA GASTOS GENERALES.,0
2016,I,P,87010,PARA GASTOS CON FINANCIACIÓN AFECTADA.,0
2016,I,P,91300,Préstamos recibidos a largo plazo,3277000
