#Año,Tipo,Presupuesto,Programa,Económica,Descripción,Inicial 2016
2016,G,P,0110,31001,INTERESES  BCL Nº 14270587,40000
2016,G,P,0110,31004,INTERESES  BCL Nº 5016411,7000
2016,G,P,0110,31005,INTERESES  BCL Nº  5173652,1600
2016,G,P,0110,31020,INVERSIONES 2004,1000
2016,G,P,0110,31021,INVERSIONES 2005,150000
2016,G,P,0110,31022,Intereses prestamo 2009 Caja Madrid nº 11.589.302/69,1500
2016,G,P,0110,31023,Intereses préstamo 2009 Caja Madrid nº 11.584.305/21,8500
2016,G,P,0110,31024,Intereses préstamo,27000
2016,G,P,0110,31025,Intereses Prestamo Bankia SUMTOSA,5500
2016,G,P,0110,31026,Intereses préstamo Banco Santander - SUMTOSA,3500
2016,G,P,0110,35900,Otros gastos financieros,5000
2016,G,P,0110,91304,AMORTIZACIÓN  BCL Nº 5016411,140000
2016,G,P,0110,91305,AMORTIZACIÓN BCL Nº 5173652,93000
2016,G,P,0110,91320,Inversiones 2004,222000
2016,G,P,0110,91321,INVERSIONES 2005,254250
2016,G,P,0110,91322,Amortización Caja Madrid 2009 nº 11.589.302/69,11500
2016,G,P,0110,91323,Amortización préstamo 2009 Caja Madrid nº 11.589.305/21,120000
2016,G,P,0110,91324,Amortización préstamo,97500
2016,G,P,0110,91325,Amortización prestamo Bankia - SUMTOSA,21000
2016,G,P,0110,91326,Amortización préstamo Banco Santander - SUMTOSA,17000
2016,G,P,1320,12001,SUELDOS DEL GRUPO A2.,15000
2016,G,P,1320,12003,SUELDOS DEL GRUPO C1.,14165
2016,G,P,1320,12004,SUELDOS DEL GRUPO C2.,455600
2016,G,P,1320,12006,TRIENIOS.,61450
2016,G,P,1320,12100,COMPLEMENTO DE DESTINO.,221400
2016,G,P,1320,12101,COMPLEMENTO ESPECÍFICO.,882650
2016,G,P,1320,15000,COMPLEMENTO DE PRODUCTIVIDAD,406000
2016,G,P,1320,15100,GRATIFICACIONES,33400
2016,G,P,1320,16000,Seguridad Social. Personal Funcionario,553500
2016,G,P,1320,20200,Arrendamientos de edificios y otras construcciones,10800
2016,G,P,1320,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,27000
2016,G,P,1320,21400,REPARAC. MANTEN. MATERIAL TRANSPORTE,12000
2016,G,P,1320,22103,COMBUSTIBLES Y CARBURANTES.,25000
2016,G,P,1320,22104,VESTUARIO.,15000
2016,G,P,1320,22199,Otros suministros,3400
2016,G,P,1320,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS.,1700
2016,G,P,1320,22603,PUBLICACIÓN EN DIARIOS OFICIALES.,6000
2016,G,P,1320,22699,Otros gastos diversos,2000
2016,G,P,1320,22799,Otros trabajos realizados por otras emrpresas y profesionale,26000
2016,G,P,1320,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",25000
2016,G,P,1330,22799,Otros trabajos realizados por otras emrpresas y profesionale,18000
2016,G,P,1330,61900,Otras inversiones de reposición de infraestructuras y bienes,1398000
2016,G,P,1350,12003,SUELDOS DEL GRUPO C1.,11100
2016,G,P,1350,12006,TRIENIOS.,1330
2016,G,P,1350,12100,COMPLEMENTO DE DESTINO.,6180
2016,G,P,1350,12101,COMPLEMENTO ESPECÍFICO.,9380
2016,G,P,1350,13000,RETRIBUCIONES BÁSICAS.,64500
2016,G,P,1350,13001,HORAS EXTRAORDINARIAS,9500
2016,G,P,1350,13002,OTRAS REMUNERACIONES.,5500
2016,G,P,1350,13010,PRODUCTIVIDAD PERSONAL LABORAL,3250
2016,G,P,1350,15000,COMPLEMENTO DE PRODUCTIVIDAD,6430
2016,G,P,1350,16000,Seguridad Social. Personal Funcionario,9150
2016,G,P,1350,16001,Seguridad Social. Personal laboral,23450
2016,G,P,1350,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",50000
2016,G,P,1350,21400,REPARAC. MANTEN. MATERIAL TRANSPORTE,4000
2016,G,P,1350,22000,ORDINARIO NO INVENTARIABLE.,100
2016,G,P,1350,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES.",150
2016,G,P,1350,22103,COMBUSTIBLES Y CARBURANTES.,4500
2016,G,P,1350,22104,VESTUARIO.,6000
2016,G,P,1350,22105,PRODUCTOS ALIMENTICIOS.,4200
2016,G,P,1350,22106,PRODUCTOS FARMACÉUTICOS Y MATERIAL SANITARIO.,500
2016,G,P,1350,22199,Otros suministros,2000
2016,G,P,1350,22699,Otros gastos diversos,1000
2016,G,P,1350,22799,Otros trabajos realizados por otras emrpresas y profesionale,15000
2016,G,P,1350,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",52000
2016,G,P,1360,22501,Tributos de las Comunidades Autónomas,710000
2016,G,P,1510,12000,SUELDOS DEL GRUPO A1.,35850
2016,G,P,1510,12001,SUELDOS DEL GRUPO A2.,46100
2016,G,P,1510,12003,SUELDOS DEL GRUPO C1.,35800
2016,G,P,1510,12006,TRIENIOS.,20800
2016,G,P,1510,12100,COMPLEMENTO DE DESTINO.,64150
2016,G,P,1510,12101,COMPLEMENTO ESPECÍFICO.,109450
2016,G,P,1510,15000,COMPLEMENTO DE PRODUCTIVIDAD,65000
2016,G,P,1510,15100,GRATIFICACIONES,3000
2016,G,P,1510,16000,Seguridad Social. Personal Funcionario,95000
2016,G,P,1510,20000,Arrendamientos de terrenos  y bienes naturales,30000
2016,G,P,1510,21200,REPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC,0
2016,G,P,1510,22610,Sanciones,5000
2016,G,P,1510,22706,ESTUDIOS Y TRABAJOS TÉCNICOS.,135000
2016,G,P,1510,22799,Otros trabajos realizados por otras emrpresas y profesionale,5000
2016,G,P,1510,61900,Otras inversiones de reposición de infraestructuras y bienes,0
2016,G,P,1532,21003,MANTENIMIENTO VIAS PÚBLICAS,300000
2016,G,P,1532,22199,Otros suministros,29000
2016,G,P,1532,61900,Otras inversiones de reposición de infraestructuras y bienes,210000
2016,G,P,1533,13000,RETRIBUCIONES BÁSICAS.,252000
2016,G,P,1533,13001,HORAS EXTRAORDINARIAS,20150
2016,G,P,1533,13002,OTRAS REMUNERACIONES.,15300
2016,G,P,1533,13010,PRODUCTIVIDAD PERSONAL LABORAL,47900
2016,G,P,1533,14300,OTRO PERSONAL ATIPICO,48000
2016,G,P,1533,16001,Seguridad Social. Personal laboral,110450
2016,G,P,1533,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,9000
2016,G,P,1533,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,28000
2016,G,P,1533,20900,CÁNONES.,2500
2016,G,P,1533,21003,MANTENIMIENTO VIAS PÚBLICAS,50000
2016,G,P,1533,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",41000
2016,G,P,1533,21400,REPARAC. MANTEN. MATERIAL TRANSPORTE,7000
2016,G,P,1533,22101,AGUA.,100000
2016,G,P,1533,22103,COMBUSTIBLES Y CARBURANTES.,10500
2016,G,P,1533,22104,VESTUARIO.,9000
2016,G,P,1533,22199,Otros suministros,22000
2016,G,P,1533,22799,Otros trabajos realizados por otras emrpresas y profesionale,20000
2016,G,P,1533,61900,Otras inversiones de reposición de infraestructuras y bienes,895000
2016,G,P,1600,61900,Otras inversiones de reposición de infraestructuras y bienes,100000
2016,G,P,1610,61900,Otras inversiones de reposición de infraestructuras y bienes,0
2016,G,P,1610,78900,OTRAS TRANSFERENCIAS DE CAPITAL,163000
2016,G,P,1621,22502,TRIBUTOS DE LAS ENTIDADES LOCALES.,166350
2016,G,P,1621,22799,Otros trabajos realizados por otras emrpresas y profesionale,776800
2016,G,P,1621,61900,Otras inversiones de reposición de infraestructuras y bienes,140000
2016,G,P,1630,22700,LIMPIEZA Y ASEO.,710150
2016,G,P,1650,21002,MANTENIMIENTO ALUMBRADO PÚBLICO,173000
2016,G,P,1650,22100,ENERGÍA ELÉCTRICA.,400000
2016,G,P,1650,61900,Otras inversiones de reposición de infraestructuras y bienes,312000
2016,G,P,1700,12001,SUELDOS DEL GRUPO A2.,30250
2016,G,P,1700,12003,SUELDOS DEL GRUPO C1.,11860
2016,G,P,1700,12004,SUELDOS DEL GRUPO C2.,10490
2016,G,P,1700,12005,SUELDOS DEL GRUPO E.,8400
2016,G,P,1700,12006,TRIENIOS.,4350
2016,G,P,1700,12100,COMPLEMENTO DE DESTINO.,31600
2016,G,P,1700,12101,COMPLEMENTO ESPECÍFICO.,48350
2016,G,P,1700,13000,RETRIBUCIONES BÁSICAS.,60500
2016,G,P,1700,13001,HORAS EXTRAORDINARIAS,7200
2016,G,P,1700,13002,OTRAS REMUNERACIONES.,3310
2016,G,P,1700,13010,PRODUCTIVIDAD PERSONAL LABORAL,8750
2016,G,P,1700,14300,OTRO PERSONAL ATIPICO,48000
2016,G,P,1700,15000,COMPLEMENTO DE PRODUCTIVIDAD,27900
2016,G,P,1700,15100,GRATIFICACIONES,1250
2016,G,P,1700,16000,Seguridad Social. Personal Funcionario,46000
2016,G,P,1700,16001,Seguridad Social. Personal laboral,27000
2016,G,P,1700,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,28800
2016,G,P,1700,21000,INFRAESTRUCTURA Y BIENES NATURALES,100
2016,G,P,1700,21001,MANTENIMIENTO PARQUES Y JARDINES,0
2016,G,P,1700,22103,COMBUSTIBLES Y CARBURANTES.,6000
2016,G,P,1700,22104,VESTUARIO.,5000
2016,G,P,1700,22199,Otros suministros,25000
2016,G,P,1700,22699,Otros gastos diversos,4000
2016,G,P,1700,22799,Otros trabajos realizados por otras emrpresas y profesionale,90000
2016,G,P,1700,61900,Otras inversiones de reposición de infraestructuras y bienes,0
2016,G,P,1710,21001,MANTENIMIENTO PARQUES Y JARDINES,838000
2016,G,P,1710,61900,Otras inversiones de reposición de infraestructuras y bienes,54000
2016,G,P,1710,62100,Terrenos y bienes natuales,0
2016,G,P,1710,63100,INVERSION EN TERRENOS Y BIENES NATURALES,785000
2016,G,P,1720,21000,INFRAESTRUCTURA Y BIENES NATURALES,130000
2016,G,P,1720,61900,Otras inversiones de reposición de infraestructuras y bienes,0
2016,G,P,2210,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,3000
2016,G,P,2210,16204,ACCIÓN SOCIAL.,65000
2016,G,P,2210,16205,SEGUROS.,40000
2016,G,P,2210,16300,FORMACION Y PERFECCIONAMIENTO PERSONAL LABORAL,4500
2016,G,P,2210,16304,ACCION SOCIAL PERSONAL LABORAL,50000
2016,G,P,2210,23030,Dietas del personal,500
2016,G,P,2210,23300,Otras indemnizaciones,8000
2016,G,P,2210,83001,ANTICIPOS DE PAGAS AL PERSONAL LABORAL,60000
2016,G,P,2310,12000,SUELDOS DEL GRUPO A1.,8300
2016,G,P,2310,12001,SUELDOS DEL GRUPO A2.,15950
2016,G,P,2310,12003,SUELDOS DEL GRUPO C1.,5630
2016,G,P,2310,12004,SUELDOS DEL GRUPO C2.,10100
2016,G,P,2310,12006,TRIENIOS.,10130
2016,G,P,2310,12100,COMPLEMENTO DE DESTINO.,21400
2016,G,P,2310,12101,COMPLEMENTO ESPECÍFICO.,40460
2016,G,P,2310,13000,RETRIBUCIONES BÁSICAS.,81750
2016,G,P,2310,13002,OTRAS REMUNERACIONES.,3600
2016,G,P,2310,13010,PRODUCTIVIDAD PERSONAL LABORAL,7200
2016,G,P,2310,15000,COMPLEMENTO DE PRODUCTIVIDAD,19260
2016,G,P,2310,16000,Seguridad Social. Personal Funcionario,31300
2016,G,P,2310,16001,Seguridad Social. Personal laboral,26000
2016,G,P,2310,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",1500
2016,G,P,2310,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES.",2000
2016,G,P,2310,22103,COMBUSTIBLES Y CARBURANTES.,3000
2016,G,P,2310,22106,PRODUCTOS FARMACÉUTICOS Y MATERIAL SANITARIO.,750
2016,G,P,2310,22199,Otros suministros,1800
2016,G,P,2310,22300,TRANSPORTES,3200
2016,G,P,2310,22699,Otros gastos diversos,1000
2016,G,P,2310,22799,Otros trabajos realizados por otras emrpresas y profesionale,148000
2016,G,P,2310,46300,A MANCOMUNIDADES,354080
2016,G,P,2310,48000,TRANSFERENCIAS CTES. A PARTICULARES,214000
2016,G,P,2310,48900,OTRAS TRANSFERENCIAS,121239
2016,G,P,2410,13000,RETRIBUCIONES BÁSICAS.,94150
2016,G,P,2410,13001,HORAS EXTRAORDINARIAS,250
2016,G,P,2410,13002,OTRAS REMUNERACIONES.,4660
2016,G,P,2410,13010,PRODUCTIVIDAD PERSONAL LABORAL,1630
2016,G,P,2410,16001,Seguridad Social. Personal laboral,30300
2016,G,P,2410,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",1000
2016,G,P,2410,22000,ORDINARIO NO INVENTARIABLE.,300
2016,G,P,2410,22104,VESTUARIO.,1100
2016,G,P,2410,22105,PRODUCTOS ALIMENTICIOS.,6000
2016,G,P,2410,22199,Otros suministros,1000
2016,G,P,2410,22300,TRANSPORTES,4000
2016,G,P,2410,22699,Otros gastos diversos,2000
2016,G,P,3110,22106,PRODUCTOS FARMACÉUTICOS Y MATERIAL SANITARIO.,100
2016,G,P,3110,22199,Otros suministros,100
2016,G,P,3110,22602,PUBLICIDAD Y PROPAGANDA.,100
2016,G,P,3110,22699,Otros gastos diversos,100
2016,G,P,3110,22799,Otros trabajos realizados por otras emrpresas y profesionale,20000
2016,G,P,3110,48900,OTRAS TRANSFERENCIAS,5000
2016,G,P,3110,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,0
2016,G,P,3230,12004,SUELDOS DEL GRUPO C2.,19850
2016,G,P,3230,12006,TRIENIOS.,1500
2016,G,P,3230,12100,COMPLEMENTO DE DESTINO.,9600
2016,G,P,3230,12101,COMPLEMENTO ESPECÍFICO.,17350
2016,G,P,3230,13000,RETRIBUCIONES BÁSICAS.,214400
2016,G,P,3230,13001,HORAS EXTRAORDINARIAS,4650
2016,G,P,3230,13002,OTRAS REMUNERACIONES.,3780
2016,G,P,3230,13010,PRODUCTIVIDAD PERSONAL LABORAL,3050
2016,G,P,3230,15000,COMPLEMENTO DE PRODUCTIVIDAD,9900
2016,G,P,3230,15100,GRATIFICACIONES,1500
2016,G,P,3230,16000,Seguridad Social. Personal Funcionario,14300
2016,G,P,3230,16001,Seguridad Social. Personal laboral,66300
2016,G,P,3230,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,2000
2016,G,P,3230,21200,REPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC,110000
2016,G,P,3230,22103,COMBUSTIBLES Y CARBURANTES.,70000
2016,G,P,3230,22199,Otros suministros,8000
2016,G,P,3230,22300,TRANSPORTES,90000
2016,G,P,3230,22699,Otros gastos diversos,700
2016,G,P,3230,22799,Otros trabajos realizados por otras emrpresas y profesionale,50000
2016,G,P,3230,48100,"PREMIOS, BECAS Y PENSIONES DE ESTUDIO",20000
2016,G,P,3230,48900,OTRAS TRANSFERENCIAS,110000
2016,G,P,3230,63201,INDUSTRIALES,100000
2016,G,P,3230,63300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE.",5000
2016,G,P,3230,63500,MOBILIARIO.,30000
2016,G,P,3231,13000,RETRIBUCIONES BÁSICAS.,408500
2016,G,P,3231,13002,OTRAS REMUNERACIONES.,8280
2016,G,P,3231,16001,Seguridad Social. Personal laboral,127300
2016,G,P,3231,21200,REPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC,22000
2016,G,P,3231,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",3500
2016,G,P,3231,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES.",300
2016,G,P,3231,22103,COMBUSTIBLES Y CARBURANTES.,20000
2016,G,P,3231,22104,VESTUARIO.,5000
2016,G,P,3231,22199,Otros suministros,10000
2016,G,P,3231,22699,Otros gastos diversos,1000
2016,G,P,3231,22799,Otros trabajos realizados por otras emrpresas y profesionale,166000
2016,G,P,3231,63300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE.",43000
2016,G,P,3231,63500,MOBILIARIO.,2000
2016,G,P,3260,13000,RETRIBUCIONES BÁSICAS.,84500
2016,G,P,3260,13010,PRODUCTIVIDAD PERSONAL LABORAL,1060
2016,G,P,3260,16001,Seguridad Social. Personal laboral,25600
2016,G,P,3260,22199,Otros suministros,500
2016,G,P,3260,22699,Otros gastos diversos,200
2016,G,P,3261,12003,SUELDOS DEL GRUPO C1.,730
2016,G,P,3261,12006,TRIENIOS.,220
2016,G,P,3261,12100,COMPLEMENTO DE DESTINO.,520
2016,G,P,3261,12101,COMPLEMENTO ESPECÍFICO.,670
2016,G,P,3261,13000,RETRIBUCIONES BÁSICAS.,328100
2016,G,P,3261,13001,HORAS EXTRAORDINARIAS,3000
2016,G,P,3261,13002,OTRAS REMUNERACIONES.,11200
2016,G,P,3261,15000,COMPLEMENTO DE PRODUCTIVIDAD,410
2016,G,P,3261,16000,Seguridad Social. Personal Funcionario,700
2016,G,P,3261,16001,Seguridad Social. Personal laboral,106300
2016,G,P,3261,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",1000
2016,G,P,3261,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES.",500
2016,G,P,3261,22103,COMBUSTIBLES Y CARBURANTES.,5000
2016,G,P,3261,22104,VESTUARIO.,600
2016,G,P,3261,22199,Otros suministros,1000
2016,G,P,3261,22699,Otros gastos diversos,3000
2016,G,P,3261,22799,Otros trabajos realizados por otras emrpresas y profesionale,12000
2016,G,P,3261,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",2000
2016,G,P,3261,62500,MOBILIARIO,1000
2016,G,P,3321,13000,RETRIBUCIONES BÁSICAS.,112850
2016,G,P,3321,13001,HORAS EXTRAORDINARIAS,2000
2016,G,P,3321,13002,OTRAS REMUNERACIONES.,12420
2016,G,P,3321,16001,Seguridad Social. Personal laboral,37200
2016,G,P,3321,20800,ARRENDAMIENTOS DE OTRO INMOVILIZADO MATERIAL.,0
2016,G,P,3321,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",4000
2016,G,P,3321,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES.",4320
2016,G,P,3321,22010,FONDOS DE BIBLIOTECA Y MATERIAL AUDIOVISUAL,20000
2016,G,P,3321,22104,VESTUARIO.,500
2016,G,P,3321,22199,Otros suministros,1200
2016,G,P,3321,22699,Otros gastos diversos,160
2016,G,P,3321,22799,Otros trabajos realizados por otras emrpresas y profesionale,11130
2016,G,P,3321,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",0
2016,G,P,3321,62500,MOBILIARIO,40000
2016,G,P,3330,12003,SUELDOS DEL GRUPO C1.,11650
2016,G,P,3330,12006,TRIENIOS.,1090
2016,G,P,3330,12100,COMPLEMENTO DE DESTINO.,6180
2016,G,P,3330,12101,COMPLEMENTO ESPECÍFICO.,9680
2016,G,P,3330,13000,RETRIBUCIONES BÁSICAS.,253750
2016,G,P,3330,13001,HORAS EXTRAORDINARIAS,5000
2016,G,P,3330,13002,OTRAS REMUNERACIONES.,48150
2016,G,P,3330,13010,PRODUCTIVIDAD PERSONAL LABORAL,7800
2016,G,P,3330,15000,COMPLEMENTO DE PRODUCTIVIDAD,5980
2016,G,P,3330,16000,Seguridad Social. Personal Funcionario,8500
2016,G,P,3330,16001,Seguridad Social. Personal laboral,100800
2016,G,P,3330,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,12000
2016,G,P,3330,20900,CÁNONES.,15000
2016,G,P,3330,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",25000
2016,G,P,3330,21500,MOBILIARIO Y ENSERES,400
2016,G,P,3330,22104,VESTUARIO.,3000
2016,G,P,3330,22199,Otros suministros,8000
2016,G,P,3330,22300,TRANSPORTES,3500
2016,G,P,3330,22602,PUBLICIDAD Y PROPAGANDA.,35000
2016,G,P,3330,22606,"REUNIONES, CONFERENCIAS Y CURSOS.",2000
2016,G,P,3330,22699,Otros gastos diversos,100
2016,G,P,3330,22799,Otros trabajos realizados por otras emrpresas y profesionale,253000
2016,G,P,3330,48100,"PREMIOS, BECAS Y PENSIONES DE ESTUDIO",14000
2016,G,P,3330,48900,OTRAS TRANSFERENCIAS,3000
2016,G,P,3330,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",23000
2016,G,P,3330,62500,MOBILIARIO,314000
2016,G,P,3340,12004,SUELDOS DEL GRUPO C2.,8350
2016,G,P,3340,12006,TRIENIOS.,1270
2016,G,P,3340,12100,COMPLEMENTO DE DESTINO.,3960
2016,G,P,3340,12101,COMPLEMENTO ESPECÍFICO.,7160
2016,G,P,3340,13000,RETRIBUCIONES BÁSICAS.,383000
2016,G,P,3340,13002,OTRAS REMUNERACIONES.,250
2016,G,P,3340,13010,PRODUCTIVIDAD PERSONAL LABORAL,9500
2016,G,P,3340,15000,COMPLEMENTO DE PRODUCTIVIDAD,3560
2016,G,P,3340,16000,Seguridad Social. Personal Funcionario,6200
2016,G,P,3340,16001,Seguridad Social. Personal laboral,117700
2016,G,P,3340,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,300
2016,G,P,3340,21500,MOBILIARIO Y ENSERES,3000
2016,G,P,3340,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES.",350
2016,G,P,3340,22010,FONDOS DE BIBLIOTECA Y MATERIAL AUDIOVISUAL,2000
2016,G,P,3340,22104,VESTUARIO.,1500
2016,G,P,3340,22300,TRANSPORTES,3000
2016,G,P,3340,22602,PUBLICIDAD Y PROPAGANDA.,800
2016,G,P,3340,22699,Otros gastos diversos,1500
2016,G,P,3340,22799,Otros trabajos realizados por otras emrpresas y profesionale,12000
2016,G,P,3340,48900,OTRAS TRANSFERENCIAS,42000
2016,G,P,3340,62900,OTRO INMOVILIZADO MATERIAL,2000
2016,G,P,3371,13000,RETRIBUCIONES BÁSICAS.,101050
2016,G,P,3371,13001,HORAS EXTRAORDINARIAS,2500
2016,G,P,3371,13002,OTRAS REMUNERACIONES.,3550
2016,G,P,3371,13010,PRODUCTIVIDAD PERSONAL LABORAL,12300
2016,G,P,3371,16001,Seguridad Social. Personal laboral,35700
2016,G,P,3371,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,2020
2016,G,P,3371,22103,COMBUSTIBLES Y CARBURANTES.,500
2016,G,P,3371,22104,VESTUARIO.,1500
2016,G,P,3371,22105,PRODUCTOS ALIMENTICIOS.,100
2016,G,P,3371,22199,Otros suministros,4800
2016,G,P,3371,22300,TRANSPORTES,10200
2016,G,P,3371,22602,PUBLICIDAD Y PROPAGANDA.,5100
2016,G,P,3371,22699,Otros gastos diversos,150
2016,G,P,3371,22799,Otros trabajos realizados por otras emrpresas y profesionale,100000
2016,G,P,3371,48100,"PREMIOS, BECAS Y PENSIONES DE ESTUDIO",1600
2016,G,P,3371,63201,INDUSTRIALES,3000
2016,G,P,3380,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,17000
2016,G,P,3380,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,65000
2016,G,P,3380,22699,Otros gastos diversos,2000
