#Sección,b,c,Periodo,Fecha,NIF Beneficiario,Beneficiario,Tipo de Adjudicación,Descripción,Importe,Origen
Administración General,,,1T,2018-02-23,,"NORTHGATE ESPAÑA RENTING FLEXIBLE, S.A.",,"FACTURA SEDE A-1718-129643  ALQUILER, MATR: HTL0189, PERIODO FACTURACION: 01/12/17 - 31/12/17",353.43,
Administración General,,,1T,2018-03-22,,"NORTHGATE ESPAÑA RENTING FLEXIBLE, S.A.",,"FACTURA SEDE A-1718-161823 ALQUILER, MATR: HTL0189, PERIODO FACTURACION: 01/02/18 - 28/02/18,",353.43,
Administración General,,,1T,2018-01-01,,CYRASA SEGURIDAD SL,,FACTURA  SEDE 12203  INSTALACION EQUIPO DE SEGURIDAD,145.2,
Administración General,,,1T,2018-01-22,,"ELECNOR, S.A",,FACTURA SEDE 1628003800 MANTENIMIENTO EDIFICIOS MES DICIEMBRE,3480.97,
Administración General,,,1T,2018-02-02,,"ELECNOR, S.A",,FACTURA SEDE 1628004900 SUSTITUCION VALVULA REDUCTORA LLENADO CALEFACCION EDIFICIO SEGURIDAD,82.46,
Administración General,,,1T,2018-02-07,,CYRASA SEGURIDAD SL,,FACTURA  SEDE 12200  MANTENIMIENTO ALARMA EDIFICIOS MUNICIPALES,5951.99,
Administración General,,,1T,2018-02-16,,"ELECNOR, S.A",,FACTURA 1628012800  MANTENIMIENTO EDIFICIOS MES ENERO,3480.97,
Administración General,,,1T,2018-03-02,,"ZARDOYA OTIS, S.A.",,"FACTURA 0148344R IMPORTE 603,79 CONCEPTO OFERTA TTQI4408A EN AVDA ROSARIO MANZANEQUE 1",603.79,
Administración General,,,1T,2018-03-21,,"ELECNOR, S.A",,FACTURA 1628027600  MANTENIMIENTO EDIFICIOS MES DE FEBRERO,3480.97,
Administración General,,,1T,2018-03-22,,CANDIDO VALVERDE S.L.,,"FACTURA 180050 DESPLAZAMIENTO, CONFIGURACIO Y PROGRAMACION DE LA CENTRAL MODELO SCE QUE CONTROLA LA HORA Y TOQUES DEL RE",137.94,
Administración General,,,1T,2018-03-19,,"MARTIN REY, OSCAR",,GASTOS A JUSTIFICAR ITV VEHICULO 0345-GLB,150,
Administración General,,,1T,2018-01-15,,OFIPAPEL CENTER SL,,FACTURA 07/172583  MATERIAL OFICINA MEDIO AMBIENTE,139.1,
Administración General,,,1T,2018-01-15,,OFIPAPEL CENTER SL,,FACTURA 07/172581 SUMINISTRO MATERIAL SECRETARIA,212.42,
Administración General,,,1T,2018-01-15,,OFIPAPEL CENTER SL,,FACTURA 07/172580  MATERIAL MEDIO AMBIENTE,67.76,
Administración General,,,1T,2018-01-15,,OFIPAPEL CENTER SL,,FACTURA 07/172579  MATERIAL OFICINA JUZGADO DE PAZ,124.87,
Administración General,,,1T,2018-01-15,,OFIPAPEL CENTER SL,,TACOS CALENDARIOS MESAS VARIOS DEPARTAMENTOS,36.63,
Administración General,,,1T,2018-01-22,,OFIPAPEL CENTER SL,,FACTURA 07/173363  MATERIAL OFICINA INFORMATICA,161.15,
Administración General,,,1T,2018-02-01,,TRAMA DE GASLLAR SL,,FACTURA  SEDE F1700926 NOMINAS AUTOSOBRE PARA DEPTO PERSONAL,1016.4,
Administración General,,,1T,2018-02-02,,CRISTALERIAS TORRELODONES SA,,FACTURA SEDE 145  RADIADORES INTERVENCION,133.1,
Administración General,,,1T,2018-02-08,,OFIPAPEL CENTER SL,,FACTURA 07/172577  MATERIAL BIBLIOTECA,1.67,
Administración General,,,1T,2018-02-13,,OFIPAPEL CENTER SL,,FACTURA 07/174095  SUMINISTRO MATERIAL PARA TESORERIA,182.26,
Administración General,,,1T,2018-02-16,,OFIPAPEL CENTER SL,,FACTURA 07/174093  SUMINISTRO MATERIAL CULTURA,35.74,
Administración General,,,1T,2018-02-21,,OFIPAPEL CENTER SL,,SUMINISTRO MATERIAL PARA ALCALDÍA,206.14,
Administración General,,,1T,2018-02-26,,OFIPAPEL CENTER SL,,FACTURA 07/174722  MATERIAL PARA SEGURIDAD,139.45,
Administración General,,,1T,2018-03-06,,CRISTALERIAS TORRELODONES SA,,FACTURA SEDE 2180  SUMINISTRO MATERIAL INFORMATICA,119.91,
Administración General,,,1T,2018-03-14,,OFIPAPEL CENTER SL,,SUMINISTRO MATERIAL ARCHIVO,128.61,
Administración General,,,1T,2018-03-14,,OFIPAPEL CENTER SL,,FACTURA 07/175571  SUMINISTRO MATERIAL PARA CULTURA,267.99,
Administración General,,,1T,2018-03-21,,OFIPAPEL CENTER SL,,FACTURA 07/175560 SUMINISTRO MATERIAL INFORMATICO,3.57,
Administración General,,,1T,2018-03-21,,OFIPAPEL CENTER SL,,FACTURA 07/175572  SUMINISTRO MATERIAL MEDIO AMBIENTE,86.18,
Administración General,,,1T,2018-03-22,,OFIPAPEL CENTER SL,,FACTURA 07/175566  MATERIAL OFICINA PARA PP,156.65,
Administración General,,,1T,2018-03-26,,OFIPAPEL CENTER SL,,FACTURA 07/175568  MATERIAL OFICINA IDIOMAS,616.46,
Administración General,,,1T,2018-01-01,,"GAS NATURAL SERVICIOS SDG, S.A.",,FACTURA SEDE RE17326000009604 CONTRATO 19480307 PERIODO 20/02/16 A  21/03/16 CUPS ES0021000005697127QR EDIF MUNICIPALES,2478.27,
Administración General,,,1T,2018-03-26,,IBERDROLA CLIENTES SAU,,FACTURA SEDE 21171228030017733 CONTRATO 570770178 PERIODO 17/11/17 A 16/12/17 CUPS ES0021000005696203KC EDIF MUNICIPALES,695.88,
Administración General,,,1T,2018-03-26,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,FACTURA SEDE 09171228030010672 CONTRATO 492586410 PERIODO 11/10/17 A 07/12/17 CUPS ES0021000019135256JN EDIF MUNICIPALES,43.71,
Administración General,,,1T,2018-03-26,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,FACTURA SEDE 09171228030005164  CONTRATO 340403731 PERIODO 13/11/17 A 14/12/17 CUPS ES0021000005693912ZY EDIF MUNICIPALE,27.84,
Administración General,,,1T,2018-03-26,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,FACTURA SEDE 09171228030006304  CONTRATO 351518009 PERIODO 28/09/17 A 30/11/17 CUPS ES0021000005699578FZ EDIF MUNCIIPALE,166.01,
Administración General,,,1T,2018-03-26,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,FACTURA SEDE 09171228030006012 CONTRATO 348106282 PERIODO 13/10/17 A 05/12/17 CUPS ES0021000005698366TK EDIF MUNICIPALES,68.09,
Administración General,,,1T,2018-03-26,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,FACTURA SEDE 09171228030003687  CONTRATO 321779186 PERIODO 04/10/17 A 04/12/17 CUPS ES0021000005694312PS EDIF MUNICIPALE,94.56,
Administración General,,,1T,2018-03-26,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,FACTURA SEDE 09171228030003695  CONTRATO 321783918 PERIODO 13/11/17 A 14/12/17 CUPS ES0021000005697092ZN EDIF MUNICIPALE,693.34,
Administración General,,,1T,2018-03-26,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,FACTURA SEDE 09171228030007489  CONTRATO 363506925 PERIODO 13/11/17 A 17/12/17 CUPS ES0021000011079016DM EDIF MUNICIPALE,526.51,
