#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito
2012,I,E,11200,IMPTO SOBRE BIENES INMUEBLES. BIENES INMUEB DE NAT RÚSTICA,366.46
2012,I,E,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,9742024.16
2012,I,E,11400,Impto. sobre Bienes Inmuebles Características Especiales,3249.62
2012,I,E,11500,Impuesto sobre Vehículos de Tracción Mecánica,661584.77
2012,I,E,11600,Impuesto sobre incremento del valor de los terrenos,3289549.58
2012,I,E,13000,Impuesto sobre actividades económicas,1371120.42
2012,I,E,17100,RECARGO PROVINCIAL SOBRE I.A.E.,67.16
2012,I,E,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",138995.1
2012,I,E,30200,Tasas por recogida de basuras y residuos sólidos urbanos,734738.04
2012,I,E,30900,Tasas concesiones cementerio municipal,0
2012,I,E,31199,OTROS SERVICIOS ASISTENCIALES,0
2012,I,E,31300,TASAS ENSEÑANZAS ESPECIALES Y ACTIVIDADES,253428.27
2012,I,E,31301,TASAS DE ENTRADAS EN PISCINAS DESCUBIERTAS,11501.8
2012,I,E,31302,"TASAS PADEL, TENIS, FRONTENIS Y SQUASH",32875.25
2012,I,E,31303,TASAS CENSIÓN CANCHAS,0
2012,I,E,31304,TASAS CUOTAS ABONO INSTALACIONES,95182.35
2012,I,E,31305,TASAS PISCINA CUBIERTA,-89.42
2012,I,E,32100,Tasas por concesión de licencias urbanísticas,217242.42
2012,I,E,32200,Licencias de primera ocupación,82071.24
2012,I,E,32500,Tasa por expedición de documentos,15578.54
2012,I,E,32700,Licencias de apertura de establecimientos,40519.86
2012,I,E,32900,Tasa por apertura anual de piscinas de uso colectivo,42742.97
2012,I,E,33003,TASA POR VADOS Y RESERVAS EN LA VIA PUBLICA,-872.6
2012,I,E,33100,Tasa de entrada de vehículos,2618.16
2012,I,E,33200,Tasa por utilizacion priv. o aprov. especial empresas sumin.,304809.8
2012,I,E,33400,Tasa por apertura de calas y zanjas,820.97
2012,I,E,33500,Tasa por ocupación de la vía pública con terrazas,35932.68
2012,I,E,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,8311.14
2012,I,E,33700,Tasa por aprovechamiento del vuelo (grúas),1692
2012,I,E,33800,Otros aprovechamientos especiales compensación Telefónica,91634.36
2012,I,E,33900,Otras tasas por ocupación de vía pública,27165.4
2012,I,E,33902,Tasas de retirada de vehículos (grúas),12185
2012,I,E,33903,Tasa por cesión de instalaciones en dominio público,28700.81
2012,I,E,33904,Tasas de o.v.p. con puestos y barracas,7841.46
2012,I,E,34200,Precios públicos. Escuela de Idiomas,417886.96
2012,I,E,34201,Precios públicos escuela infantil,309120.12
2012,I,E,34202,Precios públicos. Escuela de Música y Danza,285147.82
