#Año,Tipo,Presupuesto,Programa,Concepto,Descripción,Crédito
2011,G,P,0110,31004,INTERESES  BCL Nº 5016411,57000
2011,G,P,0110,31005,INTERESES  BCL Nº  5173652,20000
2011,G,P,0110,31011,NTERESES BCH Nº 211432433,500
2011,G,P,0110,31016,NTERESES  BCH Nº 2714041882,10000
2011,G,P,0110,31020,INVERSIONES 2004,25000
2011,G,P,0110,31021,INVERSIONES 2005,232000
2011,G,P,0110,31022,Intereses prestamo 2009 Caja Madrid nº 11.589.302/69,4000
2011,G,P,0110,31023,Intereses préstamo 2009 Caja Madrid nº 11.584.305/21,63500
2011,G,P,0110,35900,Otros gastos financieros,250000
2011,G,P,0110,91304,AMORTIZACIÓN  BCL Nº 5016411,140500
2011,G,P,0110,91305,AMORTIZACIÓN BCL Nº 5173652,93000
2011,G,P,0110,91311,AMORTIZACIÓN BCH Nº 2114032433,15000
2011,G,P,0110,91316,AMORTIZACIÓN BCH Nº 2714041882,305500
2011,G,P,0110,91320,Inversiones 2004,210000
2011,G,P,0110,91322,Amortización Caja Madrid 2009 nº 11.589.302/69,5500
2011,G,P,0110,91323,Amortización préstamo 2009 Caja Madrid nº 11.589.305/21,108000
2011,G,P,1320,12007,Retribuciones básicas,530305
2011,G,P,1320,12102,Retribuciones complementarias,1173630
2011,G,P,1320,13000,RETRIBUCIONES BÁSICAS.,17950
2011,G,P,1320,15000,COMPLEMENTO DE PRODUCTIVIDAD,410000
2011,G,P,1320,15100,GRATIFICACIONES,50000
2011,G,P,1320,16000,Seguridad Social. Personal Funcionario,604390
2011,G,P,1320,16001,Seguridad Social. Personal laboral,5000
2011,G,P,1320,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,45000
2011,G,P,1320,21400,REPARAC. MANTEN. MATERIAL TRANSPORTE,10000
2011,G,P,1320,22104,VESTUARIO.,30000
2011,G,P,1320,22199,Otros suministros,20000
2011,G,P,1320,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS.,1000
2011,G,P,1320,22603,PUBLICACIÓN EN DIARIOS OFICIALES.,10000
2011,G,P,1320,22699,Otros gastos diversos,5000
2011,G,P,1320,22710,OTROS SERVICIOS REALIZADOS,5000
2011,G,P,1320,22799,Otros trabajos realizados por otras emrpresas y profesionale,15000
2011,G,P,1320,61901,INVERSION REPOSICION DE INFRAESTRUCTURAS Y BIENES,20000
2011,G,P,1320,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",10000
2011,G,P,1340,13000,RETRIBUCIONES BÁSICAS.,58760
2011,G,P,1340,13002,OTRAS REMUNERACIONES.,2030
2011,G,P,1340,13010,PRODUCTIVIDAD PERSONAL LABORAL,3315
2011,G,P,1340,16001,Seguridad Social. Personal laboral,24000
2011,G,P,1340,21400,REPARAC. MANTEN. MATERIAL TRANSPORTE,5000
2011,G,P,1340,22104,VESTUARIO.,6000
2011,G,P,1340,22105,PRODUCTOS ALIMENTICIOS.,2000
2011,G,P,1340,22199,Otros suministros,3000
2011,G,P,1340,22699,Otros gastos diversos,300
2011,G,P,1340,22799,Otros trabajos realizados por otras emrpresas y profesionale,3000
2011,G,P,1340,23300,Otras indemnizaciones,0
2011,G,P,1340,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",4500
2011,G,P,1500,60900,OBRAS DE INVERSIONES,0
2011,G,P,1500,61901,INVERSION REPOSICION DE INFRAESTRUCTURAS Y BIENES,0
2011,G,P,1500,62101,TERRENOS Y BIENES NATURALES,0
2011,G,P,1500,63201,INDUSTRIALES,0
2011,G,P,1500,74000,Transferencias de capital a Sociedades Mercantiles de la Ent,0
2011,G,P,1500,85090,RESTO DE ADQ DE ACCIONES DENTRO DEL SECTOR PÚBLICO.,0
2011,G,P,1510,12007,Retribuciones básicas,147500
2011,G,P,1510,12102,Retribuciones complementarias,198970
2011,G,P,1510,13000,RETRIBUCIONES BÁSICAS.,31430
2011,G,P,1510,13002,OTRAS REMUNERACIONES.,8070
2011,G,P,1510,13010,PRODUCTIVIDAD PERSONAL LABORAL,7320
2011,G,P,1510,15000,COMPLEMENTO DE PRODUCTIVIDAD,75340
2011,G,P,1510,16000,Seguridad Social. Personal Funcionario,118210
2011,G,P,1510,16001,Seguridad Social. Personal laboral,20000
2011,G,P,1510,20000,Arrendamientos de terrenos y bienes naturales,0
2011,G,P,1510,21200,REPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC,500
2011,G,P,1510,22699,Otros gastos diversos,100
2011,G,P,1510,22706,ESTUDIOS Y TRABAJOS TÉCNICOS.,147000
2011,G,P,1510,23300,Otras indemnizaciones,0
2011,G,P,1510,27000,Gastos imprevistos y funciones no clasificadas,0
2011,G,P,1510,74000,Transferencias de capital a Sociedades Mercantiles de la Ent,0
2011,G,P,1510,78900,OTRAS TRANSFERENCIAS DE CAPITAL,57000
2011,G,P,1550,21000,INFRAESTRUCTURA Y BIENES NATURALES,28000
2011,G,P,1550,21003,MANTENIMIENTO VIAS PÚBLICAS,15000
2011,G,P,1610,22101,AGUA.,75000
2011,G,P,1620,12007,Retribuciones básicas,10400
2011,G,P,1620,12102,Retribuciones complementarias,12290
