#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito
2011,I,P,91301,PRESTAMOS RECIBIDOS A LARGO PLAZO,0
2011,I,P,87010,PARA GASTOS CON FINANCIACIÓN AFECTADA.,734740.31
2011,I,P,83000,REINTEGRO DE PAGAS ANTICIPADAS AL PERSONAL FUNCIONARIO,75000
2011,I,P,75000,SUB AFECTAS A LA AMORTIZACIÓN DE PRÉST Y OPERACIONES FRAS,275000
2011,I,P,72000,"DEL ESTADO, PLANES PROVINCIALES",233129.79
2011,I,P,55200,Concesiones y aprovechamientos. Derechos de superficie.,263650
2011,I,P,55001,Concesiones adtivas. contraprestación periódica (bares),1500
2011,I,P,55000,Concesiones administrativas de contraprestación periódica,250000
2011,I,P,52100,INTERESES DE DEPOSITOS,40000
2011,I,P,51801,Intereses de anticipos y prestamos al personal,1000
2011,I,P,47000,TRANSFERENCIAS DE EMPRESAS PRIVADAS,79795
2011,I,P,46301,TRANSFERENCIAS CORRIENTES DE MANCOMUNIDADES,140000
2011,I,P,45000,Participación en los tributos de la Comunidad Autónoma,1836329.31
2011,I,P,42001,Otras transferencias de la Admon. General del Estado,0
2011,I,P,42000,Participación en los tributos del Estado,3000000
2011,I,P,39902,Otros recargos. Costas.,100000
2011,I,P,39901,Otros ingresos diversos,137044.56
2011,I,P,39800,Indemnizaciones de seguros de no vida,10265
2011,I,P,39300,INTERESES DE DEMORA,70000
2011,I,P,39211,RECARGO DE APREMIO.,260000
2011,I,P,39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIMI. PREVIO,20000
2011,I,P,39190,Otras multas y sanciones,5000
2011,I,P,39120,Multas por infracciones de la Ordenanza de Circulación.,90000
2011,I,P,39103,Sanciones medioambientales,18276.95
2011,I,P,39100,Multas por infracciones urbanísticas,75000
2011,I,P,38900,REINTEGROS DE PRESUPUESTOS CERRADOS,10000
2011,I,P,34905,Precios públicos por gabinete psicológico,0
2011,I,P,34904,Precios públicos por transporte escolar,50000
2011,I,P,34903,Precios públicos libro de Torrelodones,5000
2011,I,P,34902,Precios públicos por servicio de bodas,50000
2011,I,P,34901,Precios públicos por casa de juventud,100
2011,I,P,34900,Precios públicos por publicidad en Revista Municipal,100000
2011,I,P,34400,Precios públicos por asistencia a espectáculos,80000
2011,I,P,34301,Precios públicos. Expedición de carnets deportes,1000
2011,I,P,34300,Precios públicos por prestación de servicio en Deportes,116000
2011,I,P,34203,Precios públicos. Cursos y Actividades.,170000
2011,I,P,34202,Precios públicos. Escuela de Música y Danza,210000
2011,I,P,34201,Precios públicos escuela infantil,270000
2011,I,P,34200,Precios públicos. Escuela de Idiomas,375000
2011,I,P,33904,Tasas de o.v.p. con puestos y barracas,20000
2011,I,P,33903,Tasa por cesión de instalaciones en dominio público,80000
2011,I,P,33902,Tasas de retirada de vehículos (grúas),5000
2011,I,P,33900,Otras tasas por ocupación de vía pública,60000
2011,I,P,33800,Otros aprovechamientos especiales compensación Telefónica,185000
2011,I,P,33700,Tasa por aprovechamiento del vuelo (grúas),7500
2011,I,P,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,12000
2011,I,P,33500,Tasa por ocupación de la vía pública con terrazas,35000
2011,I,P,33400,Tasa por apertura de calas y zanjas,1000
2011,I,P,33200,Tasa por utilizacion priv. o aprov. especial empresas sumin.,260000
2011,I,P,33100,Tasa de entrada de vehículos,100000
2011,I,P,33003,TASA POR VADOS Y RESERVAS EN LA VIA PUBLICA,15000
2011,I,P,32900,Tasa por apertura anual de piscinas de uso colectivo,10000
2011,I,P,32700,Licencias de apertura de establecimientos,60000
2011,I,P,32500,Tasa por expedición de documentos,9000
2011,I,P,32200,Licencias de primera ocupación,120000
2011,I,P,32100,Tasas por concesión de licencias urbanísticas,165000
2011,I,P,31305,TASAS PISCINA CUBIERTA,252180.65
2011,I,P,31304,TASAS CUOTAS ABONO INSTALACIONES,100000
2011,I,P,31303,TASAS CENSIÓN CANCHAS,5400
2011,I,P,31302,"TASAS PADEL, TENIS, FRONTENIS Y SQUASH",45000
2011,I,P,31301,TASAS DE ENTRADAS EN PISCINAS DESCUBIERTAS,10000
2011,I,P,31300,TASAS ENSEÑANZAS ESPECIALES Y ACTIVIDADES,304000
2011,I,P,31199,OTROS SERVICIOS ASISTENCIALES,0
2011,I,P,30900,Tasas concesiones cementerio municipal,0
2011,I,P,30200,Tasas por recogida de basuras y residuos sólidos urbanos,665000
2011,I,P,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",340000
2011,I,P,17100,RECARGO PROVINCIAL SOBRE I.A.E.,0
2011,I,P,13000,Impuesto sobre actividades económicas,2125000
2011,I,P,11600,Impuesto sobre incremento del valor de los terrenos,2200000
2011,I,P,11500,Impuesto sobre Vehículos de Tracción Mecánica,1250000
2011,I,P,11400,Impto. sobre Bienes Inmuebles Características Especiales,2500
2011,I,P,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,9100000
2011,I,P,11200,IMPTO SOBRE BIENES INMUEBLES. BIENES INMUEB DE NAT RÚSTICA,400
