#Año,Tipo,Presupuesto,Programa,Concepto,Descripción,Crédito
2011,G,E,0110,31004,INTERESES  BCL Nº 5016411,25579.88
2011,G,E,0110,31005,INTERESES  BCL Nº  5173652,17184.38
2011,G,E,0110,31011,NTERESES BCH Nº 211432433,77.25
2011,G,E,0110,31016,NTERESES  BCH Nº 2714041882,4572.39
2011,G,E,0110,31020,INVERSIONES 2004,26845.47
2011,G,E,0110,31021,INVERSIONES 2005,257129.09
2011,G,E,0110,31022,Intereses prestamo 2009 Caja Madrid nº 11.589.302/69,3283.37
2011,G,E,0110,31023,Intereses préstamo 2009 Caja Madrid nº 11.584.305/21,69584.69
2011,G,E,0110,35900,Otros gastos financieros,171840.41
2011,G,E,0110,91304,AMORTIZACIÓN  BCL Nº 5016411,139755.44
2011,G,E,0110,91305,AMORTIZACIÓN BCL Nº 5173652,92857.12
2011,G,E,0110,91311,AMORTIZACIÓN BCH Nº 2114032433,14479.04
2011,G,E,0110,91316,AMORTIZACIÓN BCH Nº 2714041882,232686.01
2011,G,E,0110,91320,Inversiones 2004,204108.45
2011,G,E,0110,91322,Amortización Caja Madrid 2009 nº 11.589.302/69,4850.31
2011,G,E,0110,91323,Amortización préstamo 2009 Caja Madrid nº 11.589.305/21,496677.76
2011,G,E,1320,12007,Retribuciones básicas,477235.46
2011,G,E,1320,12102,Retribuciones complementarias,1013363.37
2011,G,E,1320,13000,RETRIBUCIONES BÁSICAS.,17007.62
2011,G,E,1320,15000,COMPLEMENTO DE PRODUCTIVIDAD,370761.51
2011,G,E,1320,15100,GRATIFICACIONES,29039.31
2011,G,E,1320,16000,Seguridad Social. Personal Funcionario,503973.65
2011,G,E,1320,16001,Seguridad Social. Personal laboral,5500.08
2011,G,E,1320,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,23800.39
2011,G,E,1320,21400,REPARAC. MANTEN. MATERIAL TRANSPORTE,5298.35
2011,G,E,1320,22104,VESTUARIO.,27021.13
2011,G,E,1320,22199,Otros suministros,10075.24
2011,G,E,1320,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS.,998.2
2011,G,E,1320,22603,PUBLICACIÓN EN DIARIOS OFICIALES.,12183
2011,G,E,1320,22699,Otros gastos diversos,3752.13
2011,G,E,1320,22710,OTROS SERVICIOS REALIZADOS,9293.46
2011,G,E,1320,22799,Otros trabajos realizados por otras emrpresas y profesionale,12661.64
2011,G,E,1320,61901,INVERSION REPOSICION DE INFRAESTRUCTURAS Y BIENES,19988.67
2011,G,E,1320,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",3880.65
2011,G,E,1340,13000,RETRIBUCIONES BÁSICAS.,68798.5
2011,G,E,1340,13002,OTRAS REMUNERACIONES.,2371.89
2011,G,E,1340,13010,PRODUCTIVIDAD PERSONAL LABORAL,4875.49
2011,G,E,1340,16001,Seguridad Social. Personal laboral,25153.45
2011,G,E,1340,21400,REPARAC. MANTEN. MATERIAL TRANSPORTE,4960.45
2011,G,E,1340,22104,VESTUARIO.,5956.62
2011,G,E,1340,22105,PRODUCTOS ALIMENTICIOS.,1297.54
2011,G,E,1340,22199,Otros suministros,1226.09
2011,G,E,1340,22699,Otros gastos diversos,667.5
2011,G,E,1340,22799,Otros trabajos realizados por otras emrpresas y profesionale,4863.19
2011,G,E,1340,23300,Otras indemnizaciones,5668.9
2011,G,E,1340,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",4024.74
2011,G,E,1500,60900,OBRAS DE INVERSIONES,2607.8
2011,G,E,1500,61901,INVERSION REPOSICION DE INFRAESTRUCTURAS Y BIENES,57390.95
2011,G,E,1500,62101,TERRENOS Y BIENES NATURALES,0
2011,G,E,1500,63201,INDUSTRIALES,627460.43
2011,G,E,1500,74000,Transferencias de capital a Sociedades Mercantiles de la Ent,19900
2011,G,E,1500,85090,RESTO DE ADQ DE ACCIONES DENTRO DEL SECTOR PÚBLICO.,0
2011,G,E,1510,12007,Retribuciones básicas,136764.19
2011,G,E,1510,12102,Retribuciones complementarias,186917.7
2011,G,E,1510,13000,RETRIBUCIONES BÁSICAS.,29855
2011,G,E,1510,13002,OTRAS REMUNERACIONES.,7665.28
