#Año,Tipo,Presupuesto,Programa,Concepto,Descripción,Crédito
2015,G,E,0110,31004,Intereses DEXIA SABADELL préstamo 2008 nº 36154507,970.68
2015,G,E,0110,31020,Intereses Bankia nº 9.315.551/13- Inv. 2.004,198.98
2015,G,E,0110,91304,Amortización DEXIA SABADELL préstamo 2008 nº 36154507,34938.86
2015,G,E,0110,91320,Amortización Bankia nº 9.315.551/13-Inv. 2004,18327.65
2015,G,E,1320,12001,Retribuciones básicas. Sueldos del Grupo A2,2876.94
2015,G,E,1320,12003,Retribuciones básicas. Sueldos del Grupo C1,6004.3
2015,G,E,1320,12004,Retribuciones básicas. Sueldos del Grupo C2,117939.52
2015,G,E,1320,12006,Retribuciones básicas. Trienios,12020.4
2015,G,E,1320,12100,Retribuciones complementarias. Complemento de destino,47523.42
2015,G,E,1320,12101,Retribucones complementarias. Complemento específico,173665.85
2015,G,E,1320,15000,Complemento de productividad,83417.58
2015,G,E,1320,15100,Gratificaciones,14474.59
2015,G,E,1320,16000,Seguridad Social. Personal funcionario,136662.49
2015,G,E,1320,20200,Arrendamientos de edificios y otras construcciones,2548.62
2015,G,E,1320,20400,Arrendamiento material de transporte,1785.34
2015,G,E,1320,21400,Reparación y mantenimiento material de transporte,461.08
2015,G,E,1320,22103,Combustible y carburantes,5002.87
2015,G,E,1320,22199,Otros suministros,144.08
2015,G,E,1320,22603,Publicación en diarios oficiales,1376.83
2015,G,E,1320,22699,Otros gastos diversos,597.52
2015,G,E,1320,22799,Otros trabajos realizados por otras emrpresas y profesionale,738.98
2015,G,E,1350,13000,Retribuciones básicas,19866.23
2015,G,E,1350,13001,Horas extraordinarias,1361.37
2015,G,E,1350,13002,Otras remuneraciones,1798.26
2015,G,E,1350,13010,Productividad,524.4
2015,G,E,1350,16001,Seguridad Social. Personal laboral,1610.82
2015,G,E,1350,21400,"Reparaciones, mantenimiento y conservación. Material de tran",713.54
2015,G,E,1350,22103,Combustible y carburantes,186.17
2015,G,E,1350,22105,Productos alimenticios,446.38
2015,G,E,1350,22199,Otros suministros,70.32
2015,G,E,1350,22799,Otros trabajos realizados por otras emrpresas y profesionale,445.79
2015,G,E,1360,22501,Tributos de las Comunidades Autónomas,352427.93
2015,G,E,1510,12000,Retribuciones básicas. Sueldos del Grupo A1,7497.53
2015,G,E,1510,12001,Retribuciones básicas. Sueldos del Grupo A2,9730.34
2015,G,E,1510,12003,Retribuciones básicas. Sueldos del Grupo C1,4951.97
2015,G,E,1510,12004,Retribuciones básicas. Sueldos del Grupo C2,4100.72
2015,G,E,1510,12006,Retribuciones básicas. Trienios,6210
2015,G,E,1510,12100,Retribuciones complementarias. Complemento de destino,16705.98
2015,G,E,1510,12101,Retribuciones complementarias. Complemento específico,28283.34
2015,G,E,1510,15000,Complemento de productividad,20375.65
2015,G,E,1510,16000,Seguridad Social. Personal funcionario,27027.89
2015,G,E,1510,20000,Arrendamientos de terrenos y bienes naturales,12245.58
2015,G,E,1510,22699,Otros gastos diversos,7.3
2015,G,E,1510,22706,Estudios y trabajos técnicos,19553.6
2015,G,E,1510,44900,Subvenciones a sociedades mercantiles de la Entidad Local,41000
2015,G,E,1532,21003,Mantenimiento vías publicas,31923.81
2015,G,E,1532,22199,Otros suministros,619.52
2015,G,E,1533,13000,Retribuciones básicas,51650.36
2015,G,E,1533,13001,Horas extraordinarias,502.24
2015,G,E,1533,13002,Otras remuneraciones,3095.91
2015,G,E,1533,13010,Productividad personal laboral,10303.1
2015,G,E,1533,14300,Otro personal laboral,12317.62
2015,G,E,1533,16001,Seguridad Social. Personal laboral,25152.77
2015,G,E,1533,20400,Arrenadmiento material de transporte,6568.18
2015,G,E,1533,21003,Mantenimiento vías públicas,28547.53
2015,G,E,1533,21200,Reparacion y matenimiento edificios y otras constr.,343.29
2015,G,E,1533,21300,"Reparación y mantenimiento maquinaria, instalaciones y utill",5967.79
2015,G,E,1533,21400,Reparación y mantenimiento material de transporte,856.21
2015,G,E,1533,22101,Agua,11784.03
2015,G,E,1533,22103,Combustible y carburantes,1756.03
2015,G,E,1533,22199,Otros suministros,8743.96
2015,G,E,1533,22799,Otros trabajos realizados por otras empresas,1129.04
2015,G,E,1533,63100,Inversión en terrenos y bienes naturales,11900
2015,G,E,1621,22502,Tributos de las Entidades Locales,47622.84
2015,G,E,1621,22799,Otros trabajos realizados por otras emrpresas y profesionale,193641.85
2015,G,E,1621,61900,Otras inversiones de reposición de infraestructuras y bienes,19819.12
2015,G,E,1630,22700,Limpieza y aseo,166304.86
2015,G,E,1650,21002,Mantenimiento alumbrado publico,20063.25
2015,G,E,1650,22100,Energía eléctrica,16866.36
2015,G,E,1700,12001,Retribuciones básicas. Sueldos del Grupo A2,3231.26
2015,G,E,1700,12003,Retribuciones básicas. Sueldos del Grupo C1,2454.13
2015,G,E,1700,12004,Retribuciones básicas. Sueldos del Grupo C2,2048.24
2015,G,E,1700,12006,Retribuciones básicas. Trienios,1026.69
2015,G,E,1700,12100,Retribuciones complementarias. Complemento de destino,4532.14
2015,G,E,1700,12101,Retribuciones complementarias. Complemento específico,5678.21
2015,G,E,1700,13000,Retribuciones básicas,11964.75
2015,G,E,1700,13001,Horas extraordinarias,2080.08
2015,G,E,1700,13002,Otras remuneraciones,682.56
2015,G,E,1700,13010,Productividad personal laboral,2193.35
2015,G,E,1700,14300,Otro personal laboral,11470.72
2015,G,E,1700,15000,Complemento de productividad,4632.18
2015,G,E,1700,16000,Seguridad Social. Personal funcionario,7412.43
2015,G,E,1700,16001,Seguridad Social. Personal laboral,5876.22
2015,G,E,1700,20400,Arrendamiento material de transporte,596.95
2015,G,E,1700,21000,Mantenimiento y conservación arbolado,6692.4
2015,G,E,1700,21001,Mantenimiento - fajas contra incendios,14342.2
2015,G,E,1700,22104,Vestuario,1653.4
2015,G,E,1700,22199,Otros suministros,647.56
2015,G,E,1700,22799,Otros trabajos realizados or otras empresas,25554.51
2015,G,E,1710,21001,Mantenimiento parques y jardines,87280.27
2015,G,E,2210,16204,Acción social personal funcionario,24947.86
2015,G,E,2210,16205,Seguros,2914.59
2015,G,E,2210,16300,Formación y perfeccionamiento personal laboral,686
2015,G,E,2210,16304,Acción social personal laboral,16216
2015,G,E,2210,23030,Dietas del personal,480.06
2015,G,E,2210,23300,Otras indemnizaciones,2469.33
2015,G,E,2210,83001,Préstamos al personal,23719.4
2015,G,E,2210,83101,PRÉSTAMOS AL PERSONAL A LARGO PLAZO,16622.6
2015,G,E,2310,12001,Retribuciones básicas. Sueldos del Grupo A2,3273.92
2015,G,E,2310,12003,Retribuciones básicas. Sueldos del Grupo C1,2459.59
2015,G,E,2310,12006,Retribuciones básicas. Trienios,1620.99
2015,G,E,2310,12100,Retribuciones complementarias. Complemento de destino,3624.12
2015,G,E,2310,12101,Retribuciones complementarias. Complemento específico,5703.23
2015,G,E,2310,13000,Retribuciones básicas,33904.96
2015,G,E,2310,13002,Otras remuneraciones,2574.46
2015,G,E,2310,13010,Productividad Personal Laboral,2712.81
2015,G,E,2310,14300,Otro personal laboral,282.28
2015,G,E,2310,15000,Complemento de Productividad.,3437.55
2015,G,E,2310,16000,Seguridad Social. Personal funcionario,5691.54
2015,G,E,2310,16001,Seguridad Social. Personal laboral,12229.14
2015,G,E,2310,22001,"Prensa, revistas, libros y otras publicaciones",262.1
2015,G,E,2310,22103,Combustible y carburantes,531.68
2015,G,E,2310,22199,Otros suministros,135.61
2015,G,E,2310,22300,Transportes,180
2015,G,E,2310,22799,Otros trabajos realizados por otras emrpresas y profesionale,1404.65
2015,G,E,2310,46300,A Mancomunidades,171040.19
2015,G,E,2310,48000,Atenciones benéficas y asistencias,2641.42
2015,G,E,2310,48900,Otras tranferencias,3672
2015,G,E,2410,13000,Retribuciones básicas,20548.61
2015,G,E,2410,13002,Otras remuneraciones,1017.48
2015,G,E,2410,13010,Productividad Personal Laboral,403.38
2015,G,E,2410,16001,Seguridad Social. Personal laboral,7859.96
2015,G,E,2410,22199,Otros suministros,125.91
2015,G,E,3110,22799,Otros trabajos realizados por otras emrpresas y profesionale,1650
2015,G,E,3230,12004,Retribuciones básicas. Sueldos del Grupo C2,4087.93
2015,G,E,3230,12006,Retribuciones básicas. Trienios,268.5
2015,G,E,3230,12100,Retribuciones complementarias. Complemento de destino,2368.74
2015,G,E,3230,12101,Retribuciones complementarias. Complemento específico,3827.24
2015,G,E,3230,13000,Retribuciones básicas,48892.23
2015,G,E,3230,13001,Horas extraordinarias,1609.49
2015,G,E,3230,13002,Otras remuneraciones,833.66
2015,G,E,3230,13010,Productividad,746.67
2015,G,E,3230,15000,Productividad,2441.64
2015,G,E,3230,16000,Seguridad Social. Personal funcionario,3558.33
2015,G,E,3230,16001,Seguridad Social. Personal laboral,16218.37
2015,G,E,3230,21200,"Reparaciones, mantenimiento y conservación. Edificios y otra",8451.85
2015,G,E,3230,22103,Combustible y carburantes,20509.36
2015,G,E,3230,22199,Otros suministros,1244.89
2015,G,E,3230,22300,Transportes,7382.76
2015,G,E,3230,22799,Otros trabajos realizados por otras emrpresas y profesionale,3184.3
2015,G,E,3230,48100,"Premios, becas y pensiones de estudio",658
2015,G,E,3231,13000,Retribuciones basicas,84420.28
2015,G,E,3231,13002,Otras remuneraciones,1815.66
2015,G,E,3231,16001,Seguridad Social. Personal laboral,28392.13
