#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito
2012,I,P,11200,IMPTO SOBRE BIENES INMUEBLES. BIENES INMUEB DE NAT RÚSTICA,400
2012,I,P,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,9690000
2012,I,P,11400,Impto. sobre Bienes Inmuebles Características Especiales,2500
2012,I,P,11500,Impuesto sobre Vehículos de Tracción Mecánica,625000
2012,I,P,11600,Impuesto sobre incremento del valor de los terrenos,2200000
2012,I,P,13000,Impuesto sobre actividades económicas,1565000
2012,I,P,17100,RECARGO PROVINCIAL SOBRE I.A.E.,0
2012,I,P,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",785280
2012,I,P,30200,Tasas por recogida de basuras y residuos sólidos urbanos,700000
2012,I,P,30900,Tasas concesiones cementerio municipal,0
2012,I,P,31199,OTROS SERVICIOS ASISTENCIALES,0
2012,I,P,31300,TASAS ENSEÑANZAS ESPECIALES Y ACTIVIDADES,298000
2012,I,P,31301,TASAS DE ENTRADAS EN PISCINAS DESCUBIERTAS,0
2012,I,P,31302,"TASAS PADEL, TENIS, FRONTENIS Y SQUASH",40400
2012,I,P,31303,TASAS CENSIÓN CANCHAS,2130
2012,I,P,31304,TASAS CUOTAS ABONO INSTALACIONES,93350
2012,I,P,31305,TASAS PISCINA CUBIERTA,0
2012,I,P,32100,Tasas por concesión de licencias urbanísticas,400000
2012,I,P,32200,Licencias de primera ocupación,49500
2012,I,P,32500,Tasa por expedición de documentos,7000
2012,I,P,32700,Licencias de apertura de establecimientos,20000
2012,I,P,32900,Tasa por apertura anual de piscinas de uso colectivo,7300
2012,I,P,33003,TASA POR VADOS Y RESERVAS EN LA VIA PUBLICA,5000
2012,I,P,33100,Tasa de entrada de vehículos,0
2012,I,P,33200,Tasa por utilizacion priv. o aprov. especial empresas sumin.,280000
2012,I,P,33400,Tasa por apertura de calas y zanjas,1000
2012,I,P,33500,Tasa por ocupación de la vía pública con terrazas,27000
2012,I,P,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,5000
2012,I,P,33700,Tasa por aprovechamiento del vuelo (grúas),7500
2012,I,P,33800,Otros aprovechamientos especiales compensación Telefónica,100000
2012,I,P,33900,Otras tasas por ocupación de vía pública,6000
2012,I,P,33902,Tasas de retirada de vehículos (grúas),5000
2012,I,P,33903,Tasa por cesión de instalaciones en dominio público,39089
2012,I,P,33904,Tasas de o.v.p. con puestos y barracas,17000
2012,I,P,34200,Precios públicos. Escuela de Idiomas,300000
2012,I,P,34201,Precios públicos escuela infantil,280000
2012,I,P,34202,Precios públicos. Escuela de Música y Danza,299950
2012,I,P,34203,Precios públicos. Cursos y Actividades.,57000
2012,I,P,34300,Precios públicos por prestación de servicio en Deportes,145500
2012,I,P,34301,Precios públicos. Expedición de carnets deportes,0
2012,I,P,34400,Precios públicos por asistencia a espectáculos,89500
2012,I,P,34900,Precios públicos por publicidad en Revista Municipal,58000
2012,I,P,34901,Precios públicos por casa de juventud,26200
2012,I,P,34902,Precios públicos por servicio de bodas,50000
2012,I,P,34903,Precios públicos libro de Torrelodones,1400
2012,I,P,34904,Precios públicos por transporte escolar,0
2012,I,P,34905,Precios públicos por gabinete psicológico,11000
2012,I,P,38900,REINTEGROS DE PRESUPUESTOS CERRADOS,5000
2012,I,P,39100,Multas por infracciones urbanísticas,46000
2012,I,P,39103,Sanciones medioambientales,20000
2012,I,P,39120,Multas por infracciones de la Ordenanza de Circulación.,110000
2012,I,P,39190,Otras multas y sanciones,5000
2012,I,P,39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIMI. PREVIO,20000
2012,I,P,39211,RECARGO DE APREMIO.,260000
2012,I,P,39300,INTERESES DE DEMORA,70000
2012,I,P,39800,Indemnizaciones de seguros de no vida,5000
2012,I,P,39901,Otros ingresos diversos,35000
2012,I,P,39902,Otros recargos. Costas.,100000
2012,I,P,39903,Otros ingresos. Recogida selectiva envases,80000
2012,I,P,39904,Otros ingresos. Fondo reposición arbolado,15000
2012,I,P,42000,Participación en los tributos del Estado,3800000
2012,I,P,42001,Otras transferencias de la Admon. General del Estado,0
2012,I,P,45000,Participación en los tributos de la Comunidad Autónoma,1518386
2012,I,P,45300,DE EMPRESAS PUBLICAS Y OTROS ENTES PUBLICOS,0
2012,I,P,46301,TRANSFERENCIAS CORRIENTES DE MANCOMUNIDADES,140000
2012,I,P,47000,TRANSFERENCIAS DE EMPRESAS PRIVADAS,30000
2012,I,P,51801,Intereses de anticipos y prestamos al personal,1000
2012,I,P,52100,INTERESES DE DEPOSITOS,40000
2012,I,P,53410,DE SOC Y ENTIDADES NO DEPENDIENTES DE LAS ENTIDADES LOCALES.,0
2012,I,P,55000,Concesiones administrativas de contraprestación periódica,184000
2012,I,P,55001,Concesiones adtivas. contraprestación periódica (bares),3000
2012,I,P,55200,Concesiones y aprovechamientos. Derechos de superficie.,275000
2012,I,P,72000,"DEL ESTADO, PLANES PROVINCIALES",0
2012,I,P,75000,SUB AFECTAS A LA AMORTIZACIÓN DE PRÉST Y OPERACIONES FRAS,0
2012,I,P,83000,REINTEGRO DE PAGAS ANTICIPADAS AL PERSONAL FUNCIONARIO,75000
2012,I,P,87000,PARA GASTOS GENERALES.,0
2012,I,P,87010,PARA GASTOS CON FINANCIACIÓN AFECTADA.,0
